UT,AU
WOS:000342236000009,"Olea, JLM; Strzalecki, T"
WOS:000336146600006,"Puga, D; Trefler, D"
WOS:000926656800001,"Dix-Carneiro, R; Pessoa, JP; Reyes-Heroles, R; Traiberman, S"
WOS:000806495000001,"Deshpande, M; Mueller-Smith, M"
WOS:000764043900001,"Alvarez, F; Lippi, F; Oskolkov, A"
WOS:000728439200003,"Heldring, L; Robinson, JA; Vollmer, S"
WOS:000612198000001,"Goldin, J; Lurie, IZ; McCubbin, J"
WOS:000544015700002,"Autor, D; Dorn, D; Katz, LF; Patterson, C; Van Reenen, J"
WOS:000489162100001,"Young, A"
WOS:000489161300006,"Burchardi, KB; Gulesci, S; Lerva, B; Sulaiman, M"
WOS:000435871300005,"Hoffman, M; Kahn, LB; Li, D"
WOS:000423802600003,"Agarwal, S; Chomsisengphet, S; Mahoney, N; Stroebel, J"
WOS:000423802600010,"Embrey, M; Fréchette, GR; Yuksel, S"
WOS:000423802600009,"Wiswall, M; Zafar, B"
WOS:000388576700004,"Kelly, M; Gráda, CO"
WOS:000336146600004,"Garthwaite, C; Gross, T; Notowidigdo, MJ"
WOS:000979999900001,"Cortés, P; Pan, J; Pilossoph, L; Reuben, E; Zafar, B"
WOS:000946887400001,"Agan, A; Doleac, JL; Harvey, A"
WOS:000921150500004,"Alan, S; Corekcioglu, G; Sutter, M"
WOS:000743312400010,"Aquilina, M; Budish, E; O'Neill, P"
WOS:000728439200005,"Bandiera, O; Best, MC; Khan, AQ; Prat, A"
WOS:000642334600012,"Carvalho, VM; Nirei, M; Saito, YU; Tahbaz-Salehi, A"
WOS:000672777600006,"Abaluck, J; Adams-Prassl, A"
WOS:000544015700003,"Chetty, R; Hendren, N; Jones, MR; Porter, SR"
WOS:000544015700006,"Koijen, RSJ; Van Nieuwerburgh, S"
WOS:000489162800004,"Chan, DC; Dickstein, MJ"
WOS:000451281400009,"Gomes, R; Tirole, J"
WOS:000435871300010,"Acemoglu, D; Egorov, G; Sonin, K"
WOS:000412764300007,"Dal B'o, E; Finan, F; Folke, O; Persson, T; Rickne, J"
WOS:000412764300009,"DellaVigna, S; Lindner, A; Reizer, B; Schmieder, JF"
WOS:000412764300011,"Haushofer, J; Shapiro, J"
WOS:000401981500004,"Baron, M; Xiong, W"
WOS:000388576700009,"Nagel, S"
WOS:000380249200007,"Rubinstein, A"
WOS:000764764900001,"Mullainathan, S; Obermeyer, Z"
WOS:000728439200004,"Alan, S; Baysan, C; Gumren, M; Kubilay, E"
WOS:000612198000010,"Caunedo, J; Keller, E"
WOS:000544015700004,"Chandra, A; Staiger, DO"
WOS:000451280400008,"Fieldhouse, AJ; Mertens, K; Ravn, MO"
WOS:000435871300003,"Herndrics, L; Schoellman, T"
WOS:000396771300006,"Giroud, X; Mueller, HM"
WOS:000396771300005,"Scheuer, F; Werning, I"
WOS:000388576700007,"Akerlof, R; Holden, R"
WOS:000383326100001,"Kirkeboen, LJ; Leuven, E; Mogstad, M"
WOS:000359638900005,"Ivashina, V; Scharfstein, DS; Stein, JC"
WOS:001076716200001,"Brancaccio, G; Kalouptsidi, M; Papageorgiou, T; Rosaia, N"
WOS:001030461600001,"Bianchi, F; Faccini, R; Melosi, L"
WOS:001035117100001,"Greenwood, R; Hanson, S; Stein, JC; Sunderam, A"
WOS:000865127000001,"Chalendard, C; Fernandes, AM; Raballand, G; Rijkers, B"
WOS:000764509800001,"Michelman, V; Price, J; Zimmerman, SD"
WOS:000743312400011,"Einav, L; Finkelstein, A; Ji, YA; Mahoney, N"
WOS:000728439200007,"Stantcheva, S"
WOS:000642334600007,"Dahl, GB; Kotsadam, A; Rooth, DO"
WOS:000451281400007,"Spenkuch, JL; Toniatti, D"
WOS:000401981500001,"Atkin, D; Khandelwal, AK; Osman, A"
WOS:000351525000003,"Agarwal, S; Chomsisengphet, S; Mahoney, N; Stroebel, J"
WOS:000346660500010,"Lehmann, E; Simula, L; Trannoy, A"
WOS:000813236400001,"Olea, JLM; Ortoleva, P; Pai, MM; Prat, A"
WOS:000770420700001,"Clayton, C; Schaab, A"
WOS:000743312400001,"Gethin, A; Martínez-Toledano, C; Piketty, T"
WOS:000728439200008,"Bonomi, G; Gennaioli, N; Tabellini, G"
WOS:000728439200012,"Cantoni, E; Pons, V"
WOS:000672777600005,"Abaluck, J; Bravo, MC; Hull, P; Starc, A"
WOS:000672777600008,"Hanson, SG; Lucca, DO; Wright, JH"
WOS:000544017700008,"Sandvik, JJ; Saouma, RE; Seegert, NT; Stanton, CT"
WOS:000489163400009,"Hassan, TA; Hollander, S; van Lent, L; Tahoun, A"
WOS:000489162100008,"Enke, B"
WOS:000489161300003,"Beraja, M; Fuster, A; Hurst, E; Vavra, J"
WOS:000489161300010,"Caicedo, FV"
WOS:000451280400001,"Chetty, R; Hendren, N"
WOS:000435871300004,"Dell, M; Querubin, P"
WOS:000412764300003,"Fajgelbaum, PD; Schaal, E; Taschereau-Dumouchel, M"
WOS:000406177000004,"Glover, D; Pallais, A; Pariente, W"
WOS:000383326100006,"Ponticelli, J; Alencar, LS"
WOS:000342236000008,"Buser, T; Niederle, M; Oosterbeek, H"
WOS:000342236000003,"Chetty, R; Friedman, JN; Leth-Petersen, S; Nielsen, TH; Olsen, T"
WOS:000336146600008,"Agarwal, S; Lucca, D; Seru, A; Trebbi, F"
WOS:000946927000001,"Bursztyn, L; Egorov, G; Haaland, I; Rao, AK; Roth, C"
WOS:000743312400009,"Bianchi, J; Mondragon, J"
WOS:000612198000003,"Ang, D"
WOS:000593217300009,"Barnichon, R; Mesters, G"
WOS:000544017700002,"Backus, M; Blake, T; Larsen, B; Tadelis, S"
WOS:000544015700009,"Ashraf, N; Bau, N; Low, C; Mcginn, K"
WOS:000507362800009,"Caselli, F; Koren, M; Lisicky, M; Tenreyro, S"
WOS:000507362800005,"Eliason, PJ; Heebsh, B; Mcdevitt, RC; Roberts, JW"
WOS:000489162800008,"Finkelstein, A; Notowidigdo, MJ"
WOS:000489162100006,"Costinot, A; Donaldson, D; Kyle, M; Williams, H"
WOS:000489161300004,"Chen, T; Kung, JKS"
WOS:000451280400002,"Chetty, R; Hendren, N"
WOS:000406177000006,"Bhargava, S; Loewenstein, G; Sydnor, J"
WOS:000396771300003,"Arezki, R; Ramey, VA; Sheng, LG"
WOS:000365535400009,"Farber, HS"
WOS:000351525000005,"Bartling, B; Weber, RA; Yao, L"
WOS:000346660500003,"Gabaix, X"
WOS:000854284500001,"Caprettini, B; Voth, HJ"
WOS:000743312400012,"Ali, SN; Haghpanah, N; Lin, X; Siegel, R"
WOS:000507362800006,"Card, D; Dellavigna, S; Funk, P; Iriberri, N"
WOS:000489163400006,"Adao, R; Kolesár, M; Morales, E"
WOS:000435871300008,"Iaria, A; Schwarz, C; Waldinger, F"
WOS:000406177000001,"Bold, T; Kaizzi, KC; Svensson, J; Yanagizawa-Drott, D"
WOS:000380249200003,"Card, D; Cardoso, AR; Kline, P"
WOS:000342236000005,"Piketty, T; Zucman, G"
WOS:000988606100001,"Jacobsen, MR; Sallee, JM; Shapiro, JS; van Benthem, AA"
WOS:000803708500001,"Arteaga, F; Kapor, AJ; Neilson, CA; Zimmerman, SD"
WOS:000785751900001,"Meyer, J; Reinhart, CM; Trebesch, C"
WOS:000770118700001,"Bilk, A; Blandin, A; Rogerson, R"
WOS:000743312400003,"Bleemer, Z"
WOS:000672777600003,"Breza, E; Kinnan, C"
WOS:000672777600012,"Setzler, B; Tintelnot, F"
WOS:000672777600001,"Farber, HS; Herbst, D; Kitziemko, I; Naidu, S"
WOS:000642334600006,"Augenblick, N; Rabin, M"
WOS:000593217300003,"Jäger, S; Schoefer, B; Young, S; Zweimüller, J"
WOS:000489162800001,"Alan, S; Boneva, T; Ertac, S"
WOS:000423802600004,"Agan, A; Starr, S"
WOS:000423802600001,"de la Croix, D; Doepke, M; Mokyr, J"
WOS:000423802600005,"Kleinberg, J; Lakkaraju, H; Leskovec, J; Ludwig, J; Mullainathan, S"
WOS:000396771300009,"Dustmann, C; Schönberg, U; Stuhler, J"
WOS:000396771300008,"Martin, I"
WOS:000380249200009,"David, JM; Hopenhayn, HA; Venkateswaran, V"
WOS:000351525000010,"Jacob, BA; Kapustin, M; Ludwig, J"
WOS:000342236000001,"Hsieh, CT; Klenow, PJ"
WOS:000336146600005,"Blattman, C; Fiala, N; Martinez, S"
WOS:000986429900001,"Berger, D; Bocola, L; Dovis, A"
WOS:000867883100001,"Cook, LD; Jones, MEC; Logan, TD; Rosé, D"
WOS:000612198000004,"Derenoncourt, E; Montialoux, C"
WOS:000507362800007,"Jakobsen, K; Jakobsen, K; Kleven, H; Zucman, G"
WOS:000435871300009,"de Ree, J; Muralidharan, K; Pradhan, M; Rogers, H"
WOS:000406177000005,"Brot-Goldberg, ZC; Chandra, A; Handel, BR; Kolstad, JT"
WOS:000396771300007,"Benmelech, E; Meisenzahl, RR; Ramcharan, R"
WOS:000380249200006,"Donaldson, D; Hornbeck, R"
WOS:000371602500003,"Arkolakis, C"
WOS:000354733000003,"Campante, F; Yanagizawa-Drott, D"
WOS:000354733000004,"Costinot, A; Donaldson, D; Vogel, J; Werning, I"
WOS:000351525000002,"Greenwood, R; Hanson, SG"
WOS:000346660500002,"Coffman, KB"
WOS:000939688700001,"Chatterjee, S"
WOS:000935195800001,"Philippon, T; Wang, OLV"
WOS:000904947200001,"Baqaee, DR; Burstein, A"
WOS:000770114200001,"Alfaro-Ureña, A; Manelici, I; Vasquez, JP"
WOS:000489163400001,"Smith, M; Yagan, D; Zidar, O; Zwick, E"
WOS:000489162100010,"Rogerson, R; Wallenius, J"
WOS:000489161300008,"Hassan, TA; Mano, RC"
WOS:000423802600002,"Giglio, S; Kelly, B"
WOS:000406177000008,"Guerrieri, V; Lorenzoni, G"
WOS:000396771300001,"Heller, SB; Shah, AK; Guryan, J; Ludwig, J; Mullainathan, S; Pollack, HA"
WOS:000371602500004,"Jackson, CK; Johnson, RC; Persico, C"
WOS:000330451700010,"Billings, SB; Deming, DJ; Rockoff, J"
WOS:000330451700006,"Wallace, N"
WOS:000986430600001,"Afrouzi, H; Kwon, SY; Landier, A; Ma, YR; Thesmar, D"
WOS:000743312400008,"vom Lehn, C; Winberry, T"
WOS:000593217300007,"He, GJ; Wang, SD; Zhang, B"
WOS:000544015700005,"Bazzi, S; Koehler-Derrick, G; Marx, B"
WOS:000489162800003,"Jordà, O; Knoll, K; Kuvshinov, D; Schularick, M; Taylor, AM"
WOS:000451281400008,"Cantoni, D; Dittmar, J; Yuchtman, N"
WOS:000401981500002,"Bhandari, A; Evans, D; Golosov, M; Sargent, TJ"
WOS:000396771300002,"Debortoli, D; Nunes, R; Yared, P"
WOS:000380249200010,"Veiga, A; Weyl, EG"
,"Allcott, H"
WOS:000359638900009,"Anderson, S; Bidner, C"
WOS:000936189300001,"Fernández-Villaverde, J; Koyama, M; Lin, YH; Sng, TH"
WOS:000891996300001,"Bai, Y; Jia, RX; Yang, JJ"
WOS:000867882500001,"Gray-Lobe, G; Pathak, PA; Walters, CR"
WOS:000826159000011,"Li, XM; Camerer, CF"
WOS:000764683400001,"Gumpert, A; Steimer, H; Antoni, M"
WOS:000544017700003,"Enke, B"
WOS:000544015700010,"Koszegi, B; Matejka, F"
WOS:000507362800003,"Baqaee, DR; Farhi, E"
WOS:000507362800001,"Fajgelbaum, PD; Goldberg, PK; Kennedy, PJ; Khandelwal, AK"
WOS:000489163400004,"Atalay, E; Hortaçsu, A; Li, MJ; Syverson, C"
WOS:000489161300007,"Keiser, DA; Shapiro, JS"
WOS:000451280400006,"Campante, F; Yanagizawa-Drott, D"
WOS:000388576700002,"Baird, S; Hicks, JH; Kremer, M; Miguel, E"
WOS:000380249200004,"Cesarini, D; Lindqvist, E; Östling, R; Wallace, B"
WOS:000371602500009,"Gelber, A; Isen, A; Kessler, JB"
WOS:000905046000001,"Ganong, P; Noel, P"
WOS:000892024400001,"Moscona, J; Sastry, KA"
WOS:000813228500001,"Barr, A; Eggleston, J; Smith, AA"
WOS:000785803800001,"Knutsson, D; Tyrefors, B"
WOS:000672777600010,"Altmejd, A; Barrios-Fernández, A; Drlje, M; Goodman, J; Hurwitz, M; Kovac, D; Mulhern, C; Neilson, C; Smith, J"
